question_type,scene_number,seed,question,answer,object_id,container_id
0,6,555146231,Please tell me if there is a spoon somewhere in the room.,False,1,21
0,6,662141952,Please tell me if there is a spoon somewhere in the room.,True,1,21
0,6,838629751,Is there a plate somewhere in the room?,True,4,21
0,6,990897751,Do we have any plates?,False,4,21
0,6,934627083,Is there a tomato somewhere in the room?,False,6,21
0,6,899026075,Is there a tomato in the room?,True,6,21
0,6,40379713,Please tell me if there is a loaf of bread somewhere in the room.,False,12,21
0,6,849399893,I think a loaf of bread is in the room. Is that correct?,True,12,21
0,6,993872186,I think a container is in the room. Is that correct?,True,11,21
0,6,171364809,Is there a container somewhere in the room?,False,11,21
0,6,834018421,Is there a spoon somewhere in the room?,True,1,21
0,6,309739118,Do we have any spoons?,False,1,21
0,6,811230595,Do we have any potatoes?,True,2,21
0,6,130539397,Is there a potato somewhere in the room?,False,2,21
0,6,165304750,I think a head of lettuce is in the room. Is that correct?,True,8,21
0,6,140771349,Is there a head of lettuce in the room?,False,8,21
0,7,10150802,Is there a knife somewhere in the room?,False,10,21
0,7,194526060,I think a knife is in the room. Is that correct?,True,10,21
0,7,675412763,Do we have any eggs?,True,5,21
0,7,161302369,I think an egg is in the room. Is that correct?,False,5,21
0,7,545239525,Please tell me if there is a bowl somewhere in the room.,False,7,21
0,7,820678430,I think a bowl is in the room. Is that correct?,True,7,21
0,7,683733878,Is there a plate somewhere nearby?,True,4,21
0,7,339323902,Is there a plate somewhere in the room?,False,4,21
0,7,891617309,Is there a tomato somewhere in the room?,True,6,21
0,7,267779200,I think a tomato is in the room. Is that correct?,False,6,21
0,7,103537698,I think a container is in the room. Is that correct?,True,11,21
0,7,683242862,Is there a container in the room?,False,11,21
0,7,992840606,Please tell me if there is a spoon somewhere in the room.,False,1,21
0,7,9840733,Please tell me if there is a spoon somewhere in the room.,True,1,21
0,7,533434174,Is there a fork in the room?,False,3,21
0,7,451460492,Is there a fork in the room?,True,3,21
0,8,436993492,I think a knife is in the room. Is that correct?,True,10,21
0,8,583467469,Is there a knife in the room?,False,10,21
